"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"08505","BORDENTOWN, NJ",,"G",5200,"G",45394,"G",193159,413,"BORDENTOWN","NJ","BURLINGTON"
"08510","MILLSTONE TOWNSHIP, NJ",,"G",1154,"G",14418,"G",59940,137,"MILLSTONE TOWNSHIP","NJ","MONMOUTH"
"08511","COOKSTOWN, NJ",,"G",235,"G",2562,"G",10268,31,"COOKSTOWN","NJ","BURLINGTON"
"08512","CRANBURY, NJ",,"G",15246,"G",293689,"G",1080483,492,"CRANBURY","NJ","MIDDLESEX"
"08514","CREAM RIDGE, NJ",,"G",977,"H",10464,"G",44019,116,"CREAM RIDGE","NJ","MONMOUTH"
"08515","CHESTERFIELD, NJ",,"G",497,"G",4033,"G",19163,98,"CHESTERFIELD","NJ","BURLINGTON"
"08518","FLORENCE, NJ",,"H",2795,"H",28950,"H",110864,63,"FLORENCE","NJ","BURLINGTON"
"08520","HIGHTSTOWN, NJ",,"G",9505,"G",112341,"G",445722,666,"HIGHTSTOWN","NJ","MERCER"
"08525","HOPEWELL, NJ",,"G",855,"G",6888,"G",34510,154,"HOPEWELL","NJ","MERCER"
"08527","JACKSON, NJ",,"G",9598,"G",71686,"G",297010,940,"JACKSON","NJ","OCEAN"
"08528","KINGSTON, NJ",,"H",593,"H",6806,"H",27808,47,"KINGSTON","NJ","SOMERSET"
"08530","LAMBERTVILLE, NJ",,"G",1826,"G",22079,"G",88983,258,"LAMBERTVILLE","NJ","HUNTERDON"
"08533","NEW EGYPT, NJ",,"H",712,"H",4931,"H",21704,110,"NEW EGYPT","NJ","OCEAN"
"08534","PENNINGTON, NJ",,"H",12481,"G",377820,"H",1130150,489,"PENNINGTON","NJ","MERCER"
"08535","MILLSTONE TOWNSHIP, NJ",,"H",1008,"H",13688,"H",59181,151,"MILLSTONE TOWNSHIP","NJ","MONMOUTH"
"08536","PLAINSBORO, NJ",,"H",15190,"J",472810,"J",1596333,416,"PLAINSBORO","NJ","MIDDLESEX"
"08540","PRINCETON, NJ",,"G",46994,"G",1230085,"G",4242561,2215,"PRINCETON","NJ","MERCER"
"08541","PRINCETON, NJ","I","S",0,"S",0,"S",0,6,"PRINCETON","NJ","MERCER"
"08542","PRINCETON, NJ",,"G",4335,"H",68279,"H",271674,399,"PRINCETON","NJ","MERCER"
"08543","PRINCETON, NJ",,"G",4558,"H",331544,"H",887205,47,"PRINCETON","NJ","MERCER"
"08544","PRINCETON, NJ","I","S",0,"S",0,"S",0,15,"PRINCETON","NJ","MERCER"
"08550","PRINCETON JUNCTION, NJ",,"G",4155,"G",45117,"G",203453,440,"PRINCETON JUNCTION","NJ","MERCER"
"08551","RINGOES, NJ",,"G",1173,"G",17524,"G",72395,142,"RINGOES","NJ","HUNTERDON"
